0	1	1	1
0.1	2.23691	4.29535	1.0918
0.2	6.54206	13.5077	4.14417
0.3	16.6796	26.6326	26.2725
0.4	12.7232	0.0481912	45.6085
0.5	0.951738	-7.39988	32.194
0.6	-4.02923	-6.99919	26.0264
0.7	-6.15254	-8.21548	23.4199
0.8	-8.27957	-10.5923	24.0067
0.9	-10.2267	-11.5195	27.7461
1	-10.1848	-8.87932	30.6813
1.1	-8.2091	-6.00158	29.3526
1.2	-6.54717	-5.61045	26.0496
1.3	-6.44343	-7.12747	23.4624
1.4	-7.80886	-9.72869	23.2319
1.5	-9.83703	-11.6323	26.3347
1.6	-10.5357	-9.98332	30.247
1.7	-8.90619	-6.6118	30.1897
1.8	-6.88429	-5.42512	27.0829
1.9	-6.25963	-6.46305	24.0281
2	-7.22648	-8.86163	22.8818
2.1	-9.23913	-11.3591	24.9945
2.2	-10.6274	-10.9621	29.33
2.3	-9.6008	-7.51421	30.7642
2.4	-7.38995	-5.45083	28.1832
2.5	-6.22991	-5.90955	24.8133
2.6	-6.73294	-7.98356	22.8657
2.7	-8.55234	-10.748	23.8647
2.8	-10.4398	-11.624	28.0108
2.9	-10.2055	-8.65643	30.9254
3	-8.04763	-5.74424	29.2743
3.1	-6.37554	-5.49548	25.7855
3.2	-6.36046	-7.15398	23.1665
3.3	-7.85126	-9.90671	23.0607
3.4	-9.9883	-11.8362	26.4766
3.5	-10.621	-9.90143	30.5458
3.6	-8.8087	-6.36004	30.2441
3.7	-6.71345	-5.25758	26.9043
3.8	-6.13541	-6.41456	23.7546
3.9	-7.19958	-8.95149	22.6358
4	-9.33647	-11.57	24.9635
4.1	-10.7586	-11.0311	29.5813
4.2	-9.58886	-7.32264	30.9365
4.3	-7.24998	-5.24938	28.113
4.4	-6.08312	-5.79735	24.5959
4.5	-6.64728	-7.98187	22.5966
4.6	-8.57544	-10.8995	23.6878
4.7	-10.568	-11.8031	28.1236
4.8	-10.2764	-8.58476	31.1642
4.9	-7.9693	-5.54244	29.3275
5	-6.22977	-5.33402	25.6543
5.1	-6.23237	-7.06984	22.922
5.2	-7.79749	-9.95962	22.794
5.3	-10.0641	-12.0424	26.4017
5.4	-10.7478	-9.9856	30.7579
5.5	-8.81636	-6.21025	30.4159
5.6	-6.59812	-5.06654	26.8846
5.7	-5.98544	-6.26311	23.5753
5.8	-7.07976	-8.8956	22.3439
5.9	-9.32711	-11.7136	24.7133
6	-10.8901	-11.2508	29.654
6.1	-9.68807	-7.29116	31.1859
6.2	-7.19885	-5.06035	28.2225
6.3	-5.93672	-5.597	24.5159
6.4	-6.48096	-7.82793	22.34
6.5	-8.47229	-10.9191	23.3258
6.6	-10.6415	-12.0715	27.973
6.7	-10.4446	-8.72888	31.3986
6.8	-8.01443	-5.40764	29.5677
6.9	-6.11906	-5.10717	25.7027
7	-6.04446	-6.83911	22.7514
7.1	-7.61286	-9.83527	22.4057
7.2	-10.0288	-12.2382	26.0185
7.3	-10.9304	-10.3099	30.8397
7.4	-8.97351	-6.20462	30.7539
7.5	-6.56168	-4.84499	27.0829
7.6	-5.80532	-5.98038	23.5312
7.7	-6.83915	-8.64174	22.0108
7.8	-9.16428	-11.7382	24.1711
7.9	-11.0066	-11.6687	29.4503
8	-9.93995	-7.49688	31.5292
8.1	-7.27794	-4.89724	28.578
8.2	-5.80069	-5.28964	24.6313
8.3	-6.21698	-7.4775	22.1285
8.4	-8.19697	-10.7337	22.7458
8.5	-10.6127	-12.418	27.433
8.6	-10.732	-9.18772	31.5818
8.7	-8.23946	-5.38808	30.0566
8.8	-6.0725	-4.80905	26.0039
8.9	-5.79361	-6.4291	22.7119
9	-7.26158	-9.46007	21.9084
9.1	-9.81497	-12.3479	25.2205
9.2	-11.1517	-10.9515	30.6616
9.3	-9.33784	-6.43958	31.2871
9.4	-6.65686	-4.6095	27.5828
9.5	-5.60969	-5.547	23.7002
9.6	-6.45795	-8.13074	21.6894
9.7	-8.78108	-11.5296	23.2912
9.8	-11.0406	-12.2806	28.7815
9.9	-10.3799	-8.07998	31.9167
10	-7.56402	-4.81842	29.2625
10.1	-5.71401	-4.87206	25.0392
10.2	-5.85507	-6.8915	22.0485
10.3	-7.69952	-10.2293	21.9756
10.4	-10.3777	-12.7283	26.331
10.5	-11.1219	-10.0932	31.5392
10.6	-8.73025	-5.60823	30.8448
10.7	-6.16069	-4.4614	26.6696
10.8	-5.50255	-5.82097	22.9149
10.9	-6.71933	-8.74794	21.3916
11	-9.31702	-12.1841	23.9316
11.1	-11.3163	-11.9329	29.934
11.2	-9.96925	-7.11574	31.9695
11.3	-6.9906	-4.43172	28.4996
11.4	-5.45262	-4.96564	24.2166
11.5	-5.94139	-7.31423	21.515
11.6	-8.10224	-10.9004	22.1249
11.7	-10.828	-12.9216	27.3554
11.8	-10.9966	-9.26286	32.1183
11.9	-8.18751	-4.98595	30.3606
12	-5.7739	-4.37565	25.8939
12.1	-5.43212	-6.05487	22.2665
12.2	-6.94897	-9.27335	21.1688
12.3	-9.76333	-12.6927	24.528
12.4	-11.4824	-11.5288	30.8305
12.5	-9.58846	-6.35284	31.8972
12.6	-6.53397	-4.15442	27.8611
12.7	-5.24845	-5.0293	23.5507
12.8	-6.00187	-7.63834	21.0716
12.9	-8.41721	-11.4329	22.2396
13	-11.1667	-13.0256	28.1649
13.1	-10.8672	-8.59334	32.4993
13.2	-7.7596	-4.52599	29.9666
13.3	-5.4712	-4.28587	25.2973
13.4	-5.35119	-6.1895	21.7411
13.5	-7.09012	-9.64484	20.9367
13.6	-10.0846	-13.0815	24.9235
13.7	-11.6051	-11.2354	31.4674
13.8	-9.31634	-5.80612	31.8532
13.9	-6.19525	-3.91972	27.4224
14	-5.06226	-5.0058	23.055
14.1	-5.98323	-7.79599	20.6733
